Year_of_Birth Gender Child's_First_Name Count Rank
==================================================
2011 FEMALE GERALDINE 13 75
2011 FEMALE GIA 21 67
2011 FEMALE GIANNA 49 42
2011 FEMALE GISELLE 38 51
2011 FEMALE GRACE 36 53
2011 FEMALE GUADALUPE 26 62
2011 FEMALE HAILEY 126 8
2011 FEMALE HALEY 14 74
2011 FEMALE HANNAH 17 71
2011 FEMALE HAYLEE 17 71
2011 FEMALE HAYLEY 13 75
2011 FEMALE HAZEL 10 78
2011 FEMALE HEAVEN 15 73
2011 FEMALE HEIDI 15 73
2011 FEMALE HEIDY 16 72
2011 FEMALE HELEN 13 75
2011 FEMALE IMANI 11 77
2011 FEMALE INGRID 11 77
2011 FEMALE IRENE 11 77
2011 FEMALE IRIS 10 78
2011 FEMALE ISABEL 28 60
2011 FEMALE ISABELA 10 78
2011 FEMALE ISABELLA 331 1
2011 FEMALE ISABELLE 18 70
2011 FEMALE ISIS 13 75
2011 FEMALE ITZEL 27 61
2011 FEMALE IZABELLA 23 65
2011 FEMALE JACQUELINE 30 58
2011 FEMALE JADA 21 67
2011 FEMALE JADE 50 41
2011 FEMALE JAELYNN 11 77
2011 FEMALE JAMIE 11 77
2011 FEMALE JANELLE 12 76
2011 FEMALE JASLENE 11 77
2011 FEMALE JASMIN 20 68
2011 FEMALE JASMINE 41 48
2011 FEMALE JAYDA 10 78
2011 FEMALE JAYLA 33 55
2011 FEMALE JAYLAH 12 76
2011 FEMALE JAYLEEN 51 40
2011 FEMALE JAYLENE 22 66
2011 FEMALE JAYLIN 13 75
2011 FEMALE JAYLYN 10 78
2011 FEMALE JAZLYN 16 72
2011 FEMALE JAZMIN 24 64
2011 FEMALE JAZMINE 14 74
2011 FEMALE JENNIFER 59 34
2011 FEMALE JESSICA 46 44
2011 FEMALE JIMENA 11 77
2011 FEMALE JOCELYN 46 44
2011 FEMALE JOHANNA 12 76
2011 FEMALE JOSELYN 30 58
2011 FEMALE JULIA 22 66
2011 FEMALE JULIANA 16 72
2011 FEMALE JULIANNA 21 67
2011 FEMALE JULIET 20 68
2011 FEMALE JULIETTE 15 73
2011 FEMALE JULISSA 16 72
2011 FEMALE KAELYN 11 77
2011 FEMALE KAILEY 20 68
2011 FEMALE KAILYN 11 77
2011 FEMALE KAITLYN 31 57
2011 FEMALE KAMILA 36 53
2011 FEMALE KAREN 41 48
2011 FEMALE KARLA 25 63
2011 FEMALE KATE 27 61
2011 FEMALE KATELYN 23 65
2011 FEMALE KATELYNN 10 78
2011 FEMALE KATHERINE 60 33
2011 FEMALE KATIE 12 76
2011 FEMALE KAYLA 62 31
2011 FEMALE KAYLEE 83 20
2011 FEMALE KAYLEEN 19 69
2011 FEMALE KAYLEIGH 10 78
2011 FEMALE KAYLIE 15 73
2011 FEMALE KAYLIN 12 76
2011 FEMALE KEILY 17 71
2011 FEMALE KELLY 41 48
2011 FEMALE KEYLA 12 76
